Iteração,API,TIPO,Tempo de Resposta (ms),Tamanho da Resposta (bytes)
1,REST List Repos,rest,297.24,36311
1,GraphQL List Repos,graphql_1,512.00,1006
1,GraphQL List Repos More Info,graphql_2,2559.93,21604
1,REST Get Repo PRs,rest,892.73,1168277
1,GraphQL Get Repo PRs,graphql_1,436.80,3237
1,GraphQL Get Repo PRs More Info,graphql_2,818.02,27078
2,REST List Repos,rest,413.77,36311
2,GraphQL List Repos,graphql_1,517.73,1006
2,GraphQL List Repos More Info,graphql_2,1423.68,21604
2,REST Get Repo PRs,rest,844.66,1168277
2,GraphQL Get Repo PRs,graphql_1,485.85,3237
2,GraphQL Get Repo PRs More Info,graphql_2,928.22,27078
3,REST List Repos,rest,402.28,36311
3,GraphQL List Repos,graphql_1,511.01,1006
3,GraphQL List Repos More Info,graphql_2,1639.20,21604
3,REST Get Repo PRs,rest,789.28,1168277
3,GraphQL Get Repo PRs,graphql_1,438.33,3237
3,GraphQL Get Repo PRs More Info,graphql_2,823.07,27078
4,REST List Repos,rest,302.93,36311
4,GraphQL List Repos,graphql_1,510.41,1006
4,GraphQL List Repos More Info,graphql_2,2464.19,21604
4,REST Get Repo PRs,rest,790.32,1168277
4,GraphQL Get Repo PRs,graphql_1,431.16,3237
4,GraphQL Get Repo PRs More Info,graphql_2,922.27,27078
5,REST List Repos,rest,410.08,36311
5,GraphQL List Repos,graphql_1,407.60,1006
5,GraphQL List Repos More Info,graphql_2,1231.73,21604
5,REST Get Repo PRs,rest,883.06,1168277
5,GraphQL Get Repo PRs,graphql_1,443.93,3237
5,GraphQL Get Repo PRs More Info,graphql_2,922.66,27078
6,REST List Repos,rest,305.21,36311
6,GraphQL List Repos,graphql_1,511.45,1006
6,GraphQL List Repos More Info,graphql_2,1545.95,21604
6,REST Get Repo PRs,rest,717.85,1168277
6,GraphQL Get Repo PRs,graphql_1,501.03,3237
6,GraphQL Get Repo PRs More Info,graphql_2,819.20,27078
7,REST List Repos,rest,407.91,36311
7,GraphQL List Repos,graphql_1,512.58,1006
7,GraphQL List Repos More Info,graphql_2,1330.49,21604
7,REST Get Repo PRs,rest,777.10,1168277
7,GraphQL Get Repo PRs,graphql_1,450.66,3237
7,GraphQL Get Repo PRs More Info,graphql_2,923.26,27078
8,REST List Repos,rest,406.55,36311
8,GraphQL List Repos,graphql_1,408.96,1006
8,GraphQL List Repos More Info,graphql_2,1433.69,21604
8,REST Get Repo PRs,rest,889.16,1168277
8,GraphQL Get Repo PRs,graphql_1,543.54,3237
8,GraphQL Get Repo PRs More Info,graphql_2,819.36,27078
9,REST List Repos,rest,511.90,36311
9,GraphQL List Repos,graphql_1,517.56,1006
9,GraphQL List Repos More Info,graphql_2,1324.75,21604
9,REST Get Repo PRs,rest,786.87,1168277
9,GraphQL Get Repo PRs,graphql_1,440.15,3237
9,GraphQL Get Repo PRs More Info,graphql_2,1126.72,27078
10,REST List Repos,rest,300.52,36311
10,GraphQL List Repos,graphql_1,415.48,1006
10,GraphQL List Repos More Info,graphql_2,1229.81,21604
10,REST Get Repo PRs,rest,792.80,1168277
10,GraphQL Get Repo PRs,graphql_1,433.46,3237
10,GraphQL Get Repo PRs More Info,graphql_2,921.31,27078
11,REST List Repos,rest,411.37,36311
11,GraphQL List Repos,graphql_1,509.59,1006
11,GraphQL List Repos More Info,graphql_2,1535.26,21604
11,REST Get Repo PRs,rest,781.82,1168277
11,GraphQL Get Repo PRs,graphql_1,446.43,3237
11,GraphQL Get Repo PRs More Info,graphql_2,1230.78,27078
12,REST List Repos,rest,406.79,36311
12,GraphQL List Repos,graphql_1,409.94,1006
12,GraphQL List Repos More Info,graphql_2,1330.72,21604
12,REST Get Repo PRs,rest,795.48,1168277
12,GraphQL Get Repo PRs,graphql_1,351.93,3237
12,GraphQL Get Repo PRs More Info,graphql_2,899.76,27078
13,REST List Repos,rest,305.50,36311
13,GraphQL List Repos,graphql_1,410.10,1006
13,GraphQL List Repos More Info,graphql_2,1330.86,21604
