Iteração,API,TIPO,Tempo de Resposta (ms),Tamanho da Resposta (bytes)
1,REST List Repos,rest,364.73,36311
1,GraphQL List Repos,graphql_1,613.64,1006
1,GraphQL List Repos More Info,graphql_2,1433.99,21604
1,REST Get Repo PRs,rest,680.01,1168277
1,GraphQL Get Repo PRs,graphql_1,444.80,3237
1,GraphQL Get Repo PRs More Info,graphql_2,1127.01,27078
2,REST List Repos,rest,378.77,36311
2,GraphQL List Repos,graphql_1,511.26,1006
2,GraphQL List Repos More Info,graphql_2,1331.80,21604
2,REST Get Repo PRs,rest,792.18,1168277
2,GraphQL Get Repo PRs,graphql_1,435.76,3237
2,GraphQL Get Repo PRs More Info,graphql_2,1023.96,27078
3,REST List Repos,rest,378.16,36311
3,GraphQL List Repos,graphql_1,408.53,1006
3,GraphQL List Repos More Info,graphql_2,1338.02,21604
3,REST Get Repo PRs,rest,778.20,1168277
3,GraphQL Get Repo PRs,graphql_1,546.07,3237
3,GraphQL Get Repo PRs More Info,graphql_2,920.89,27078
4,REST List Repos,rest,378.84,36311
4,GraphQL List Repos,graphql_1,408.94,1006
4,GraphQL List Repos More Info,graphql_2,1364.86,21604
4,REST Get Repo PRs,rest,766.16,1168277
4,GraphQL Get Repo PRs,graphql_1,369.76,3237
4,GraphQL Get Repo PRs More Info,graphql_2,980.45,27078
5,REST List Repos,rest,377.82,36311
5,GraphQL List Repos,graphql_1,409.51,1006
5,GraphQL List Repos More Info,graphql_2,1332.64,21604
5,REST Get Repo PRs,rest,1302.64,1168277
5,GraphQL Get Repo PRs,graphql_1,435.42,3237
5,GraphQL Get Repo PRs More Info,graphql_2,1024.95,27078
6,REST List Repos,rest,376.84,36311
6,GraphQL List Repos,graphql_1,511.92,1006
6,GraphQL List Repos More Info,graphql_2,1229.00,21604
6,REST Get Repo PRs,rest,780.72,1168277
6,GraphQL Get Repo PRs,graphql_1,448.56,3237
6,GraphQL Get Repo PRs More Info,graphql_2,1023.19,27078
7,REST List Repos,rest,378.55,36311
7,GraphQL List Repos,graphql_1,614.05,1006
7,GraphQL List Repos More Info,graphql_2,1333.85,21604
7,REST Get Repo PRs,rest,878.65,1168277
7,GraphQL Get Repo PRs,graphql_1,448.56,3237
7,GraphQL Get Repo PRs More Info,graphql_2,1024.72,27078
8,REST List Repos,rest,377.54,36311
8,GraphQL List Repos,graphql_1,512.16,1006
8,GraphQL List Repos More Info,graphql_2,1638.78,21604
8,REST Get Repo PRs,rest,997.39,1168277
8,GraphQL Get Repo PRs,graphql_1,434.57,3237
8,GraphQL Get Repo PRs More Info,graphql_2,819.95,27078
9,REST List Repos,rest,382.88,36311
9,GraphQL List Repos,graphql_1,609.32,1006
9,GraphQL List Repos More Info,graphql_2,1228.40,21604
9,REST Get Repo PRs,rest,775.52,1168277
9,GraphQL Get Repo PRs,graphql_1,657.22,3237
9,GraphQL Get Repo PRs More Info,graphql_2,848.32,27078
10,REST List Repos,rest,349.35,36311
10,GraphQL List Repos,graphql_1,409.87,1006
10,GraphQL List Repos More Info,graphql_2,1535.84,21604
10,REST Get Repo PRs,rest,894.81,1168277
10,GraphQL Get Repo PRs,graphql_1,435.28,3237
10,GraphQL Get Repo PRs More Info,graphql_2,717.19,27078
11,REST List Repos,rest,378.08,36311
11,GraphQL List Repos,graphql_1,511.36,1006
11,GraphQL List Repos More Info,graphql_2,1434.13,21604
11,REST Get Repo PRs,rest,679.02,1168277
11,GraphQL Get Repo PRs,graphql_1,445.00,3237
11,GraphQL Get Repo PRs More Info,graphql_2,717.42,27078
12,REST List Repos,rest,378.29,36311
12,GraphQL List Repos,graphql_1,512.69,1006
12,GraphQL List Repos More Info,graphql_2,1227.79,21604
12,REST Get Repo PRs,rest,939.05,1168277
12,GraphQL Get Repo PRs,graphql_1,493.27,3237
12,GraphQL Get Repo PRs More Info,graphql_2,819.75,27078
13,REST List Repos,rest,282.46,36311
13,GraphQL List Repos,graphql_1,403.59,1006
13,GraphQL List Repos More Info,graphql_2,1534.93,21604
13,REST Get Repo PRs,rest,799.17,1168277
13,GraphQL Get Repo PRs,graphql_1,531.59,3237
13,GraphQL Get Repo PRs More Info,graphql_2,1024.94,27078
